l,b,ra,dec,parallax
5.5186032976903,-38.5556819087448,312.220570254087,-37.2024775517141,4.93710118068375
5.1731561747568,-39.4937770469165,313.352617301467,-37.5807758790293,5.39349444168804
4.10033386713434,-41.1566261640296,315.356904096536,-38.5524605950013,5.03731552976403
4.20882122581454,-41.3301995175842,315.586136484715,-38.484531163446,6.13001688642134
6.95688859708327,-39.4806617232045,313.543241848831,-36.2125766300135,4.97309676531411
6.75073826981414,-41.3074220242625,315.774625733757,-36.5812221377771,4.68651482498493
7.55929884254439,-40.285236306902,314.602710877053,-35.8562048349375,4.04498716467657
7.72541084795117,-40.9437865628814,315.427905858609,-35.8111770558906,15.785988732787
6.16483220696813,-40.9892703816044,315.32287875641,-36.98738664279,4.21195201822183
6.9445905522797,-42.0457851947959,316.707123000244,-36.5110369498534,9.44513190663891
6.15867646485072,-43.2089299683145,318.094357751403,-37.1855560421461,5.64604025900085
3.86770407738967,-41.8027946420093,316.166195399452,-38.7728743054581,5.48578649642307
2.6110153216919,-42.6382550676006,317.179424672272,-39.746844809989,5.42998624506325
3.11563874021084,-43.2190295391791,317.951075060986,-39.4003754373803,4.38421892130095
4.38928214388383,-42.2674609767326,316.792124268504,-38.4169788498302,4.21746284446995
4.29370888648972,-43.1230931854405,317.877870333174,-38.5377353853562,11.1276307407315
2.49798125270741,-42.8624026174738,317.466807969573,-39.8383441319009,12.3363606782531
2.57204543028201,-43.8987463804452,318.81770482343,-39.8143783090669,3.81286060054071
1.35456533574846,-44.3864655597804,319.444367692162,-40.6932555041532,3.90861525633719
3.00102455804105,-43.7713591598133,318.662400434396,-39.5018340823097,4.90062116440857
2.97101346267782,-45.0712596855314,320.346821682652,-39.5480590427485,5.39592629029286
2.98441385136249,-45.0683438167993,320.343158894092,-39.5385674289769,4.25417286821013
2.79402856142947,-45.5529530776133,320.971275863126,-39.6749126096999,6.05613734230852
4.41984299603306,-44.3075080750883,319.395427907499,-38.500245791523,3.58795990474472
4.8991273831498,-44.3672575098828,319.489090981499,-38.1601217436694,8.01640454908498
5.29640336886506,-43.9505906999654,318.978154134128,-37.8555391458928,4.76713300945881
5.25884765768631,-45.6792424987857,321.165816230723,-37.9529713947405,4.69200113911167
357.985831136046,-42.2785403997652,316.625302395541,-43.1524158387621,14.1183041759058
355.95364729192,-43.7435495526545,318.723020065497,-44.5903126417832,4.17068912267214
356.318128051149,-43.5494020381408,318.431706972095,-44.3372758133458,3.7731724941545
356.631371173991,-43.6903480251036,318.612809612831,-44.103943943644,3.81228463151929
354.762912427958,-44.5740269679842,319.981259260087,-45.3824468672208,4.45355502118063
356.484765913154,-44.4019457691652,319.610887400698,-44.1702911272896,6.08617472003206
356.076622718717,-45.8127908845108,321.605814346362,-44.3500180228864,3.69212111737725
359.718535616084,-44.0004166594908,318.942003823668,-41.8690261103747,3.80796390220165
