ra,dec,pmra,pmdec,star_id,type,period,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,ebv,parallax
359.003256390054,10.8883242507367,22.9252904956693,-31.461721469753,362,rrlyrae,0.562379572685905,12.307299613952637,11.565600395202637,12.045299530029297,0.08009900152683258,0.427341138691206
357.795903498231,13.7849262296373,-2.18715239634345,-9.206512527142,363,rrlyrae,0.587766465419339,14.32960033416748,13.669300079345703,14.089599609375,0.04328300058841705,0.165602272675935
358.84523182638,13.9386161805042,0.651713271427531,-20.6541766083209,364,rrlyrae,0.695658194118772,13.388299942016602,12.729700088500977,13.14490032196045,0.04476799815893173,0.163767079483176
11.4204531097314,18.9506825564275,5.04386228615783,-10.1151124144624,365,rrlyrae,0.54989236908939,13.513099670410156,12.884300231933594,13.28380012512207,0.04719800129532814,0.307068334723607
8.21589173372049,26.3040679960568,8.92039432895784,-1.33829496636726,366,rrlyrae,0.511951340305364,14.856599807739258,14.263500213623047,14.624099731445312,0.043234001845121384,0.201381010941149
349.52762705633,15.8829070190279,3.0523758883719,-10.6027165647104,367,rrlyrae,0.601983082901126,13.101099967956543,12.419099807739258,12.835800170898438,0.04698700085282326,0.360028444895929
348.37850741831,16.9046615670145,21.8643855264186,-0.665453440529686,368,short,0.0565888341540433,17.493499755859375,16.871200561523438,17.308399200439453,0.1000560000538826,2.02242162046916
355.494852451749,18.2170600467688,12.3077319896786,-0.918483961769008,369,rrlyrae,0.529665695628109,12.87720012664795,12.152999877929688,12.595199584960938,0.07510600239038467,0.351768051042153
357.520976751385,17.8955353430424,8.3328437270518,-3.63246458583004,370,rrlyrae,0.603677848684747,14.611200332641602,13.90149974822998,14.319100379943848,0.04544899985194206,0.200054327361677
357.405531396965,20.428320679085,5.34576765328157,-7.19806217743388,371,rrlyrae,0.581360280136941,14.993200302124023,14.28499984741211,14.692899703979492,0.08566100150346756,0.231532790360769
350.990578377162,17.757048067824,6.63994329830847,-10.1671787575357,372,rrlyrae,0.910881621003441,14.655400276184082,13.306900024414062,13.742899894714355,0.04450400173664093,0.174692654165562
353.800321690292,20.3367592147614,9.07051261918595,0.494873059576939,373,rrlyrae,0.559572534966454,14.529600143432617,13.866399765014648,14.263299942016602,0.06702599674463272,0.177548263368657
355.426365749859,22.4306513630899,-1.10071376961418,-4.10148903331129,374,long,595.648455555781,10.511699676513672,6.72268009185791,8.114509582519531,0.0661889985203743,1.58229012305538
